"_"	"Id"	"Name"	"nvl_fld_IATACode__c"	"nvl_fld_latitude__c"	"nvl_fld_longitude__c"
"[nvl_obj_airport__c]"	"a037R00000fhV6GQAU"	"Aeropuerto de Alicante-Elche"	"ALC"	"38.2822"	"-0.558156"
"[nvl_obj_airport__c]"	"a037R00000fhV6HQAU"	"Aeropuerto de Almería"	"LEI"	"36.843899"	"-2.3701"
"[nvl_obj_airport__c]"	"a037R00000fhV6IQAU"	"Aeropuerto de Badajoz"	"BJZ"	"38.8913"	"-6.82133"
"[nvl_obj_airport__c]"	"a037R00000fhV6JQAU"	"Aeropuerto Josep Tarradellas Barcelona-El Prat"	"BCN"	"41.2971"	"2.07846"
"[nvl_obj_airport__c]"	"a037R00000fhV6KQAU"	"Aeropuerto de Bilbao"	"BIO"	"43.301102"	"-2.91061"
"[nvl_obj_airport__c]"	"a037R00000fhV6LQAU"	"Aeropuerto de Burgos"	"RGS"	"42.357601"	"-3.62076"
"[nvl_obj_airport__c]"	"a037R00000fhV6MQAU"	"Aeropuerto de Castellón-Costa Azahar"	"CDT"	"40.213889"	"0.073333"
"[nvl_obj_airport__c]"	"a037R00000fhV6NQAU"	"Aeropuerto de Córdoba"	"ODB"	"37.841999"	"-4.84888"
"[nvl_obj_airport__c]"	"a037R00000fhV6OQAU"	"Aeropuerto de San Sebastián"	"EAS"	"43.356499"	"-1.79061"
"[nvl_obj_airport__c]"	"a037R00000fhV6PQAU"	"Aeropuerto de Gerona-Costa Brava"	"GRO"	"41.901001"	"2.76055"
"[nvl_obj_airport__c]"	"a037R00000fhV6QQAU"	"Aeropuerto Federico García Lorca Granada-Jaén"	"GRX"	"37.188702"	"-3.77736"
"[nvl_obj_airport__c]"	"a037R00000fhV6RQAU"	"Aeropuerto de Ibiza"	"IBZ"	"38.872898"	"1.37312"
"[nvl_obj_airport__c]"	"a037R00000fhV6SQAU"	"Aeropuerto de Jerez"	"XRY"	"36.744598"	"-6.06011"
"[nvl_obj_airport__c]"	"a037R00000fhV6TQAU"	"Aeropuerto César Manrique-Lanzarote"	"ACE"	"28.945499"	"-13.6052"
"[nvl_obj_airport__c]"	"a037R00000fhV6UQAU"	"Aeropuerto Benito Pérez Galdós-Gran Canaria"	"LPA"	"27.9319"	"-15.3866"
"[nvl_obj_airport__c]"	"a037R00000fhV6VQAU"	"Aeropuerto de León"	"LEN"	"42.589001"	"-5.65556"
"[nvl_obj_airport__c]"	"a037R00000fhV6WQAU"	"Aeropuerto Adolfo Suárez Madrid-Barajas"	"MAD"	"40.471926"	"-3.56264"
"[nvl_obj_airport__c]"	"a037R00000fhV6XQAU"	"Base Aérea de Torrejón de Ardoz"	"TOJ"	"40.4967"	"-3.44587"
"[nvl_obj_airport__c]"	"a037R00000fhV6YQAU"	"Aeropuerto de La Gomera"	"GMZ"	"28.0296"	"-17.2146"
"[nvl_obj_airport__c]"	"a037R00000fhV6ZQAU"	"Aeropuerto de Málaga-Costa del Sol"	"AGP"	"36.6749"	"-4.49911"
"[nvl_obj_airport__c]"	"a037R00000fhV6aQAE"	"Aeropuerto de Melilla"	"MLN"	"35.2798"	"-2.95626"
"[nvl_obj_airport__c]"	"a037R00000fhV6bQAE"	"Aeropuerto de Menorca"	"MAH"	"39.862598"	"4.21865"
"[nvl_obj_airport__c]"	"a037R00000fhV6cQAE"	"Aeropuerto Internacional de la Región de Murcia"	"RMU"	"37.803"	"-1.125"
"[nvl_obj_airport__c]"	"a037R00000fhV6dQAE"	"Aeropuerto de Asturias"	"OVD"	"43.563599"	"-6.03462"
"[nvl_obj_airport__c]"	"a037R00000fhV6eQAE"	"Aeropuerto de Son Sant Joan"	"PMI"	"39.551701"	"2.73881"
"[nvl_obj_airport__c]"	"a037R00000fhV6fQAE"	"Aeropuerto de Pamplona"	"PNA"	"42.77"	"-1.64633"
"[nvl_obj_airport__c]"	"a037R00000fhV6gQAE"	"Aeropuerto Internacional Reina Sofía"	"TFS"	"28.0445"	"-16.5725"
"[nvl_obj_airport__c]"	"a037R00000fhV6hQAE"	"Aeropuerto de Manises"	"VLC"	"39.4893"	"-0.481625"
"[nvl_obj_airport__c]"	"a037R00000fhV6iQAE"	"Aeropuerto de Villanubla"	"VLL"	"41.7061"	"-4.85194"
"[nvl_obj_airport__c]"	"a037R00000fhV6jQAE"	"Aeropuerto de los Cangrejos"	"VDE"	"27.8148"	"-17.8871"
"[nvl_obj_airport__c]"	"a037R00000fhV6kQAE"	"Aeropuerto de Vigo-Peinador"	"VGO"	"42.2318"	"-8.62677"
"[nvl_obj_airport__c]"	"a037R00000fhV6lQAE"	"Aeropuerto de Reus"	"REU"	"41.1474"	"1.16717"
"[nvl_obj_airport__c]"	"a037R00000fhV6mQAE"	"Aeropuerto de Salamanca"	"SLM"	"40.952099"	"-5.50199"
"[nvl_obj_airport__c]"	"a037R00000fhV6nQAE"	"Aeropuerto Seve Ballesteros-Santander"	"SDR"	"43.427101"	"-3.82001"
"[nvl_obj_airport__c]"	"a037R00000fhV6oQAE"	"Aeropuerto de La Palma"	"SPC"	"28.626499"	"-17.7556"
"[nvl_obj_airport__c]"	"a037R00000fhV6pQAE"	"Aeropuerto de Sevilla-San Pablo"	"SVQ"	"37.417999"	"-5.89311"
"[nvl_obj_airport__c]"	"a037R00000fhV6qQAE"	"Aeropuerto de Tenerife Norte-Ciudad de La Laguna"	"TFN"	"28.4827"	"-16.341499"
"[nvl_obj_airport__c]"	"a037R00000fhV6rQAE"	"Aeropuerto de La Coruña"	"LCG"	"43.302101"	"-8.37726"
"[nvl_obj_airport__c]"	"a037R00000fhV6sQAE"	"Aeropuerto de Vitoria"	"VIT"	"42.882801"	"-2.72447"
"[nvl_obj_airport__c]"	"a037R00000fhV6tQAE"	"Aeropuerto de Zaragoza"	"ZAZ"	"41.666199"	"-1.04155"
"[nvl_obj_airport__c]"	"a037R00000fhV6uQAE"	"Aeropuerto de Santiago"	"SCQ"	"42.896301"	"-8.41514"
"[nvl_obj_airport__c]"	"a037R00000fhV6vQAE"	"Aeropuerto de Agoncillo"	"RJL"	"42.460953"	"-2.322235"
"[nvl_obj_airport__c]"	"a037R00000fhV6wQAE"	"Aeropuerto de Fuerteventura"	"FUE"	"28.4527"	"-13.8638"